symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-07-08,381.37,381.5,376.36,376.72,29274479,94.4209724938,94.4531583669,93.1805784612,93.2697085713,117097916,0.0,1.0
AAPL,2020-07-09,383.01,385.27,378.69,385.05,31420357,94.8270096621,95.3865486868,93.7574483406,95.3320802861,125681428,0.0,1.0
AAPL,2020-07-10,383.68,383.92,378.82,381.34,22564330,94.9928907004,95.0523107738,93.7896342137,94.4135449846,90257320,0.0,1.0
AAPL,2020-07-13,381.91,399.82,381.03,389.06,47913079,94.5546676589,98.9888906376,94.3367940564,96.3248906794,191652316,0.0,1.0
AAPL,2020-07-14,388.23,389.02,375.51,379.36,42748119,96.1193962589,96.3149873339,92.9701323679,93.9233293789,170992476,0.0,1.0
AAPL,2020-07-15,390.9,396.99,385.96,395.96,38306874,96.7804445756,98.2882289386,95.5573813978,98.0332177901,153227496,0.0,1.0
AAPL,2020-07-16,386.09,389.62,383.62,386.25,27645927,95.5895672709,96.4635375174,94.978035682,95.6291806532,110583708,0.0,1.0
AAPL,2020-07-17,385.31,388.59,383.36,387.95,23046755,95.3964520323,96.208526369,94.9136639358,96.0500728399,92187020,0.0,1.0
AAPL,2020-07-20,393.43,394.0,384.25,385.67,22397208,97.4068311829,97.5479538573,95.1340133747,95.4855821425,89588832,0.0,1.0
AAPL,2020-07-21,388.0,397.0,386.97,396.69,25627347,96.0624520219,98.2907047749,95.8074408735,98.2139538468,102509388,0.0,1.0
AAPL,2020-07-22,389.09,391.9,386.41,386.77,22250413,96.3323181886,97.0280282149,95.6687940355,95.7579241456,89001652,0.0,1.0
AAPL,2020-07-23,371.38,388.31,368.039,387.9935,49251108,91.9476119378,96.13920295,91.1204349992,96.0608427282,197004432,0.0,1.0
AAPL,2020-07-24,370.46,371.88,356.58,363.95,46359716,91.7198349897,92.0714037574,88.2833740772,90.1080654983,185438864,0.0,1.0
AAPL,2020-07-27,379.24,379.62,373.92,374.84,30303548,93.8936193422,93.9877011251,92.5764743815,92.8042513296,121214192,0.0,1.0
AAPL,2020-07-28,373.01,378.1986,372.99,377.47,25906375,92.3511732698,93.6357857403,92.346221597,93.4553963008,103625500,0.0,1.0
AAPL,2020-07-29,380.16,380.92,374.85,375.0,22582314,94.1213962903,94.3095598561,92.806727166,92.8438647119,90329256,0.0,1.0
AAPL,2020-07-30,384.76,385.19,375.07,376.75,39532505,95.2602810308,95.3667419956,92.8611955666,93.2771360805,158130020,0.0,1.0
AAPL,2020-07-31,425.04,425.66,403.3,411.535,93573867,105.232950019,105.3864518753,99.8504817021,101.8893329712,374295468,0.0,1.0
AAPL,2020-08-03,435.75,446.5457,431.57,432.8,77037847,107.8845707952,110.5574094892,106.8496711832,107.1541990594,308151388,0.0,1.0
AAPL,2020-08-04,438.66,443.16,433.55,436.53,43198092,108.6050391853,109.7191655619,107.3398867889,108.0776860338,172792368,0.0,1.0
AAPL,2020-08-05,440.25,441.57,435.59,437.51,30497988,108.9986971717,109.3255075755,107.8449574129,108.3203180002,121991952,0.0,1.0
AAPL,2020-08-06,455.61,457.65,439.19,441.62,50607225,112.8015818703,113.3066524943,108.7362585141,109.3378867575,202428900,0.0,1.0
AAPL,2020-08-07,444.45,454.7,441.17,452.82,49511403,110.2415670407,112.7839814004,109.4279944456,112.3176654007,198045612,0.82,1.0
AAPL,2020-08-10,450.91,455.1,440.0,450.4,53100856,111.8439081883,112.8831975705,109.1377871479,111.7174075714,212403424,0.0,1.0
AAPL,2020-08-11,437.5,449.93,436.4267,447.875,46975594,108.5176860846,111.6008285715,108.2514642961,111.0911054974,187902376,0.0,1.0
AAPL,2020-08-12,452.04,453.1,441.19,441.99,41486205,112.124193869,112.3871167198,109.4329552541,109.6313875943,165944820,0.0,1.0
AAPL,2020-08-13,460.04,464.17,455.71,457.72,52520516,114.1085172716,115.1329242283,113.0345022299,113.5330634849,210082064,0.0,1.0
AAPL,2020-08-14,459.63,460.0,452.18,459.315,41391302,114.0068206973,114.0985956546,112.1589195285,113.9286879633,165565208,0.0,1.0
AAPL,2020-08-17,458.43,464.35,455.8501,464.25,29431414,113.7091721869,115.1775715048,113.0692526935,115.1527674623,117725656,0.0,1.0
AAPL,2020-08-18,462.25,464.0,456.03,457.41,26408385,114.6566866116,115.090757356,113.113875166,113.456170953,105633540,0.0,1.0
AAPL,2020-08-19,462.83,468.65,462.44,463.933,36384502,114.8005500583,116.2441453338,114.7038142925,115.0741386475,145538008,0.0,1.0
AAPL,2020-08-20,473.1,473.568,462.9335,463.0,31726797,117.3479252265,117.4640081456,114.8262222424,114.8427169306,126907188,0.0,1.0
AAPL,2020-08-21,497.48,499.472,477.0,477.05,84513660,123.3951507962,123.8892473235,118.3152828853,118.3276849066,338054640,0.0,1.0
AAPL,2020-08-24,503.43,515.14,495.745,514.79,86484442,124.870991327,127.7755447077,122.9648006583,127.6887305588,345937768,0.0,1.0
AAPL,2020-08-25,499.3,500.7172,492.21,498.79,52873947,123.8465843703,124.1981072611,122.0879777547,123.7200837534,211495788,0.0,1.0
AAPL,2020-08-26,506.09,507.97,500.33,504.7165,40755567,125.5307788584,125.997094858,124.1020660084,125.1900953342,163022268,0.0,1.0
AAPL,2020-08-27,500.04,509.94,495.33,508.57,38888096,124.0301342851,126.4857344959,122.8618638818,126.1459191132,155552384,0.0,1.0
AAPL,2020-08-28,499.23,505.77,498.31,504.05,46907479,123.8292215406,125.4514059223,123.6010243493,125.0247763907,187629916,0.0,1.0
AAPL,2020-08-31,129.04,131.0,126.0,127.58,223505733,128.0285459415,129.9731828761,125.0123743694,126.5799898575,223505733,0.0,4.0
AAPL,2020-09-01,134.18,134.8,130.53,132.76,152470142,133.1282570864,133.7433973413,129.5068668765,131.7193874705,152470142,0.0,1.0
AAPL,2020-09-02,131.4,137.98,127.0,137.59,200118991,130.3700475567,136.8984715515,126.0045360708,136.511528488,200118991,0.0,1.0
AAPL,2020-09-03,120.88,128.84,120.5,126.91,257599640,119.9325064585,127.8301136012,119.555485012,125.9152415176,257599640,0.0,1.0
AAPL,2020-09-04,120.96,123.7,110.89,120.07,332607163,120.0118793946,122.7304024563,110.0208110621,119.1288554804,332607163,0.0,1.0
AAPL,2020-09-08,112.82,118.99,112.68,113.95,231366563,111.9356831457,118.057320843,111.7967805075,113.0568258682,231366563,0.0,1.0
AAPL,2020-09-09,117.32,119.14,115.26,117.26,176940455,116.4004108018,118.2061450982,114.356557697,116.3408810997,176940455,0.0,1.0
AAPL,2020-09-10,113.49,120.5,112.5,120.36,182274391,112.6004314856,119.555485012,111.6181914013,119.4165823738,182274391,0.0,1.0
AAPL,2020-09-11,112.0,115.23,110.0,114.57,180860325,111.1221105506,114.3267928459,109.1377871479,113.6719661231,180860325,0.0,1.0
AAPL,2020-09-14,115.355,115.93,112.8,114.72,140150087,114.4508130586,115.0213060369,111.9158399117,113.8207903783,140150087,0.0,1.0
AAPL,2020-09-15,115.54,118.829,113.61,118.33,184642039,114.6343629734,117.8975828091,112.7194908898,117.4024941201,184642039,0.0,1.0
AAPL,2020-09-16,112.13,116.0,112.04,115.23,155026675,111.2510915718,115.090757356,111.1617970187,114.3267928459,155026675,0.0,1.0
AAPL,2020-09-17,110.34,112.2,108.71,109.72,178010968,109.4751221264,111.3205428909,107.8578985532,108.8599818715,178010968,0.0,1.0
AAPL,2020-09-18,106.84,110.88,106.09,110.4,287104882,106.0025561717,110.0108894451,105.2584348957,109.5346518284,287104882,0.0,1.0
AAPL,2020-09-21,110.08,110.19,103.1,104.54,195713815,109.217160084,109.3262978712,102.2918714086,103.7205842586,195713815,0.0,1.0
AAPL,2020-09-22,111.81,112.86,109.16,112.68,183055373,110.9335998273,111.9753696138,108.3043713188,111.7967805075,183055373,0.0,1.0
AAPL,2020-09-23,107.12,112.11,106.77,111.62,150718671,106.280361448,111.2312483377,105.9331048526,110.7450891041,150718671,0.0,1.0
AAPL,2020-09-24,108.22,110.25,105.0,105.17,167743349,107.3717393195,109.3858275732,104.1769786412,104.3456461304,167743349,0.0,1.0
AAPL,2020-09-25,112.28,112.44,107.67,108.43,149981441,111.399915827,111.5586616992,106.8260503838,107.5800932768,149981441,0.0,1.0
AAPL,2020-09-28,114.96,115.32,112.78,115.01,137672403,114.0589091866,114.4160873991,111.8959966776,114.1085172716,137672403,0.0,1.0
AAPL,2020-09-29,114.09,115.31,113.57,114.55,100060526,113.1957285064,114.406165782,112.6798044217,113.652122889,100060526,0.0,1.0
AAPL,2020-09-30,115.81,117.26,113.62,113.79,142675184,114.9022466327,116.3408810997,112.7294125068,112.898079996,142675184,0.0,1.0
AAPL,2020-10-01,116.79,117.72,115.83,117.64,116120440,115.8745651,116.7972754823,114.9220898667,116.7179025462,116120440,0.0,1.0
AAPL,2020-10-02,113.02,115.37,112.22,112.89,144711986,112.134115486,114.4656954841,111.3403861249,112.0051344648,144711986,0.0,1.0
